Link1	Link2	MatchReal	MatchV1	MatchV3	Confidence
https://roamler-api.net/photos/a4beb7bb-b81f-4f70-8d43-e5f9ca1c930b	https://roamler-api.net/photos/2ff16b1a-257d-43cd-b782-c7023fe265de	1	1	1	32
https://roamler-api.net/photos/2ff16b1a-257d-43cd-b782-c7023fe265de	https://roamler-api.net/photos/046760a2-9fc9-4884-9141-b86520cd85ad	1	1	1	38
https://roamler-api.net/photos/046760a2-9fc9-4884-9141-b86520cd85ad	https://roamler-api.net/photos/8d4c90c7-c189-46c7-b849-ce2e6fd1a964	1	0	0	25
https://roamler-api.net/photos/8d4c90c7-c189-46c7-b849-ce2e6fd1a964	https://roamler-api.net/photos/d6329e1c-c1a1-4ba2-a60e-eda2facf17ca	1	0	0	29
https://roamler-api.net/photos/1be534b0-02b3-4174-b509-f102f6e625e3	https://roamler-api.net/photos/8ed33c10-313c-4999-9fea-2b97ff8e2fe0	1	1	1	44
https://roamler-api.net/photos/8ed33c10-313c-4999-9fea-2b97ff8e2fe0	https://roamler-api.net/photos/bb284393-bc8c-4be4-a1c3-5525151e208c	0	0	0	20
https://roamler-api.net/photos/bb284393-bc8c-4be4-a1c3-5525151e208c	https://roamler-api.net/photos/636b0bd5-326f-4553-9c5f-ae5522368a39	0	0	0	20
https://roamler-api.net/photos/30013762-57a4-41bb-8eba-b4d62f4c5339	https://roamler-api.net/photos/4bcc9568-1fd6-4585-9064-0292c9311811	1	1	1	52
https://roamler-api.net/photos/4bcc9568-1fd6-4585-9064-0292c9311811	https://roamler-api.net/photos/2cacc0bc-7085-49bd-906e-f5fb1b3fcac5	1	1	1	60
https://roamler-api.net/photos/2cacc0bc-7085-49bd-906e-f5fb1b3fcac5	https://roamler-api.net/photos/e0cfd6f2-c0d5-476f-bc81-a593997792bb	1	1	1	56
https://roamler-api.net/photos/ad34cf75-6fb6-4ac1-860b-e90884a2cfe3	https://roamler-api.net/photos/c1aacc5f-35c5-4025-b000-f189808863ea	1	1	1	33
https://roamler-api.net/photos/c1aacc5f-35c5-4025-b000-f189808863ea	https://roamler-api.net/photos/b6b12b1a-5048-4171-8562-a810be48aa83	1	1	1	38
https://roamler-api.net/photos/b6b12b1a-5048-4171-8562-a810be48aa83	https://roamler-api.net/photos/a41a2c5f-7d84-4782-9ca0-155fa5c11cf7	1	1	1	39
https://roamler-api.net/photos/a41a2c5f-7d84-4782-9ca0-155fa5c11cf7	https://roamler-api.net/photos/6ecf4700-b78f-41a4-813a-4a12033e1188	1	1	1	45
https://roamler-api.net/photos/6ecf4700-b78f-41a4-813a-4a12033e1188	https://roamler-api.net/photos/ebf254bc-28fb-4048-bf81-ca3b091aa019	1	1	1	51
https://roamler-api.net/photos/d6ccbdc2-667e-47b5-b306-744d038b72ea	https://roamler-api.net/photos/42735a33-9787-4a6e-b61e-87177f8e9138	1	0	0	28
https://roamler-api.net/photos/42735a33-9787-4a6e-b61e-87177f8e9138	https://roamler-api.net/photos/11204f53-bcb8-4fc5-9726-ecb1d9103bea	0	0	0	25
https://roamler-api.net/photos/43335808-4fb0-4a7b-af00-2b84c30f4006	https://roamler-api.net/photos/301fc7d8-3832-4b22-9965-87f366e047ee	1	1	1	43
https://roamler-api.net/photos/301fc7d8-3832-4b22-9965-87f366e047ee	https://roamler-api.net/photos/ad83a14d-1c35-4006-a890-75c90dadca6b	1	1	1	38
https://roamler-api.net/photos/ad83a14d-1c35-4006-a890-75c90dadca6b	https://roamler-api.net/photos/c365da68-d68f-4044-b626-d11233920153	1	0	0	30
https://roamler-api.net/photos/c365da68-d68f-4044-b626-d11233920153	https://roamler-api.net/photos/c0c87b81-b113-4f1f-9f0e-72a07e2f6d9c	0	0	0	26
https://roamler-api.net/photos/c0c87b81-b113-4f1f-9f0e-72a07e2f6d9c	https://roamler-api.net/photos/e7bf52b0-32cd-46a6-9091-1ce81d701986	1	1	1	38
https://roamler-api.net/photos/e7bf52b0-32cd-46a6-9091-1ce81d701986	https://roamler-api.net/photos/cc89ce03-5b84-4eff-a60e-890e468d0103	1	1	1	53
